## AdWords/AdSense 广告服务
#2404:6800:4008:c00::62 www.googlesyndication.com
#2404:6800:4008:c00::9a www.googleadservices.com #pagead.l.doubleclick.net
#2404:6800:4008:c00::9a domains.googlesyndication.com #pagead.l.doubleclick.net
2401:3800:4001:806::101a pagead2.googlesyndication.com #pagead46.l.doubleclick.net
2404:6800:4008:c03::70 adwords.google.com #adwords.l.google.com
2404:6800:4008:c03::70 adwords.google.sk #adwords.l.google.com
#2404:6800:4008:c00::9a partner.googleadservices.com #partnerad.l.doubleclick.net
#2404:6800:4008:c00::62 pagead.google.com
#2404:6800:4008:c00::9a pagead2.googleadservices.com #pagead.l.doubleclick.net
2404:6800:4008:c02::69 buttons.googlesyndication.com #www.google.com
2401:3800:4001:11::100a tpc.googlesyndication.com #pagead-googlehosted.l.google.com
2401:3800:4001:11::1004 v3.cache4.c.googlesyndication.com
2401:3800:4001:806::1005 v3.cache5.c.googlesyndication.com
2404:6800:4005:809::200e v3.cache6.c.googlesyndication.com
2401:3800:4001:807::1005 v3.cache7.c.googlesyndication.com
2401:3800:4001:806::1005 v3.cache8.c.googlesyndication.com
2401:3800:4001:11::1007 v4.cache1.c.googlesyndication.com
2401:3800:4001:807::1000 v4.cache2.c.googlesyndication.com
2401:3800:4001:11::1005 v4.cache3.c.googlesyndication.com
2401:3800:4001:807::1000 v4.cache4.c.googlesyndication.com
2404:6800:4005:808::200e v4.cache5.c.googlesyndication.com
2401:3800:4001:11::100e v4.cache6.c.googlesyndication.com
2404:6800:4005:800::200e v4.cache7.c.googlesyndication.com
2401:3800:4001:807::1007 v4.cache8.c.googlesyndication.com
2401:3800:4001:10::1001 v5.cache1.c.googlesyndication.com
2401:3800:4002:802::1000 v5.cache2.c.googlesyndication.com
2401:3800:4001:807::1008 v5.cache3.c.googlesyndication.com
2401:3800:4001:807::1000 v5.cache4.c.googlesyndication.com
2401:3800:4001:807::1006 v5.cache5.c.googlesyndication.com
2401:3800:4001:11::1008 v5.cache6.c.googlesyndication.com
2401:3800:4001:807::1005 v5.cache7.c.googlesyndication.com
2401:3800:4001:806::1006 v5.cache8.c.googlesyndication.com
2404:6800:4005:800::200e v6.cache1.c.googlesyndication.com
2401:3800:4001:11::100e v6.cache2.c.googlesyndication.com
2401:3800:4001:11::1004 v6.cache3.c.googlesyndication.com
2404:6800:4005:808::200e v6.cache4.c.googlesyndication.com
2401:3800:4001:807::100e v6.cache5.c.googlesyndication.com
2401:3800:4001:807::1000 v6.cache6.c.googlesyndication.com
2401:3800:4001:11::1007 v6.cache7.c.googlesyndication.com
2404:6800:4005:809::200e v6.cache8.c.googlesyndication.com
2404:6800:4005:806::200e v7.cache1.c.googlesyndication.com
2404:6800:4005:805::200e v7.cache2.c.googlesyndication.com
2404:6800:4005:80b::200e v7.cache3.c.googlesyndication.com
2401:3800:4001:11::1005 v7.cache4.c.googlesyndication.com
2404:6800:4005:801::200e v7.cache5.c.googlesyndication.com
2401:3800:4001:11::1005 v7.cache6.c.googlesyndication.com
2401:3800:4001:10::1009 v7.cache7.c.googlesyndication.com
2401:3800:4001:807::1005 v7.cache8.c.googlesyndication.com
2404:6800:4005:807::200e v8.cache1.c.googlesyndication.com
2401:3800:4001:807::1000 v8.cache2.c.googlesyndication.com
2401:3800:4001:806::1002 v8.cache3.c.googlesyndication.com
2401:3800:4001:806::1004 v8.cache4.c.googlesyndication.com
2401:3800:4001:807::1008 v8.cache5.c.googlesyndication.com
2401:3800:4001:807::1008 v8.cache6.c.googlesyndication.com
2401:3800:4001:11::100e v8.cache7.c.googlesyndication.com
2401:3800:4001:10::1004 v8.cache8.c.googlesyndication.com
2401:3800:4001:806::1003 v1.lscache1.c.googlesyndication.com
2401:3800:4001:10::1004 v1.lscache2.c.googlesyndication.com
2401:3800:4001:10::1003 v1.lscache3.c.googlesyndication.com
2401:3800:4001:806::1002 v1.lscache4.c.googlesyndication.com
2401:3800:4001:806::1005 v1.lscache5.c.googlesyndication.com
2401:3800:4001:11::100e v1.lscache6.c.googlesyndication.com
2404:6800:4005:809::200e v1.lscache7.c.googlesyndication.com
2401:3800:4001:807::1002 v1.lscache8.c.googlesyndication.com
2404:6800:4005:800::200e v2.lscache1.c.googlesyndication.com
2404:6800:4005:80b::200e v2.lscache2.c.googlesyndication.com
2401:3800:4001:806::1005 v2.lscache3.c.googlesyndication.com
2401:3800:4001:807::100e v2.lscache4.c.googlesyndication.com
2401:3800:4001:10::1009 v2.lscache5.c.googlesyndication.com
2404:6800:4005:807::200e v2.lscache6.c.googlesyndication.com
2401:3800:4001:10::1007 v2.lscache7.c.googlesyndication.com
2401:3800:4001:10::1003 v2.lscache8.c.googlesyndication.com
2401:3800:4001:10::1003 v3.lscache1.c.googlesyndication.com
2401:3800:4001:11::1006 v3.lscache2.c.googlesyndication.com
2401:3800:4001:11::1008 v3.lscache3.c.googlesyndication.com
2401:3800:4001:10::1005 v3.lscache4.c.googlesyndication.com
2401:3800:4001:806::1007 v3.lscache5.c.googlesyndication.com
2401:3800:4001:806::1008 v3.lscache6.c.googlesyndication.com
2401:3800:4001:10::1004 v3.lscache7.c.googlesyndication.com
2404:6800:4005:808::200e v3.lscache8.c.googlesyndication.com
2401:3800:4001:806::1006 v4.lscache1.c.googlesyndication.com
2401:3800:4001:10::1003 v4.lscache2.c.googlesyndication.com
2401:3800:4001:807::1009 v4.lscache3.c.googlesyndication.com
2401:3800:4001:807::1001 v4.lscache4.c.googlesyndication.com
2401:3800:4001:10::1001 v4.lscache5.c.googlesyndication.com
2401:3800:4001:11::1005 v4.lscache6.c.googlesyndication.com
2401:3800:4001:807::1006 v4.lscache7.c.googlesyndication.com
2404:6800:4005:802::200e v4.lscache8.c.googlesyndication.com
2401:3800:4001:806::1001 v5.lscache1.c.googlesyndication.com
2404:6800:4005:804::200e v5.lscache2.c.googlesyndication.com
2401:3800:4001:10::1009 v5.lscache3.c.googlesyndication.com
2401:3800:4001:807::1006 v5.lscache4.c.googlesyndication.com
2401:3800:4001:807::1007 v5.lscache5.c.googlesyndication.com
2401:3800:4001:10::1000 v5.lscache6.c.googlesyndication.com
2401:3800:4001:807::1005 v5.lscache7.c.googlesyndication.com
2401:3800:4001:806::1005 v5.lscache8.c.googlesyndication.com
2404:6800:4005:806::200e v6.lscache1.c.googlesyndication.com
2404:6800:4005:80a::200e v6.lscache2.c.googlesyndication.com
2401:3800:4001:806::100e v6.lscache3.c.googlesyndication.com
2401:3800:4001:807::100e v6.lscache4.c.googlesyndication.com
2401:3800:4001:806::1001 v6.lscache5.c.googlesyndication.com
2401:3800:4001:11::1003 v6.lscache6.c.googlesyndication.com
2401:3800:4001:807::1006 v6.lscache7.c.googlesyndication.com
2404:6800:4005:806::200e v6.lscache8.c.googlesyndication.com
2404:6800:4005:806::200e v7.lscache1.c.googlesyndication.com
2404:6800:4005:809::200e v7.lscache2.c.googlesyndication.com
2404:6800:4005:808::200e v7.lscache3.c.googlesyndication.com
2404:6800:4005:809::200e v7.lscache4.c.googlesyndication.com
2401:3800:4001:10::1004 v7.lscache5.c.googlesyndication.com
2404:6800:4005:809::200e v7.lscache6.c.googlesyndication.com
2404:6800:4005:807::200e v7.lscache7.c.googlesyndication.com
2401:3800:4001:806::1006 v7.lscache8.c.googlesyndication.com
2401:3800:4001:11::1005 v8.lscache1.c.googlesyndication.com
2404:6800:4005:80a::200e v8.lscache2.c.googlesyndication.com
2401:3800:4001:11::1001 v8.lscache3.c.googlesyndication.com
2404:6800:4005:807::200e v8.lscache4.c.googlesyndication.com
2401:3800:4001:806::1004 v8.lscache5.c.googlesyndication.com
2401:3800:4001:10::1004 v8.lscache6.c.googlesyndication.com
2401:3800:4001:10::1008 v8.lscache7.c.googlesyndication.com
2401:3800:4001:11::1003 v8.lscache8.c.googlesyndication.com
2401:3800:4001:806::100e v9.lscache1.c.googlesyndication.com
2401:3800:4001:11::1007 v9.lscache2.c.googlesyndication.com
2401:3800:4001:10::1001 v9.lscache3.c.googlesyndication.com
2401:3800:4001:806::1006 v9.lscache4.c.googlesyndication.com
2404:6800:4005:802::200e v9.lscache5.c.googlesyndication.com
2401:3800:4001:10::1007 v9.lscache6.c.googlesyndication.com
2401:3800:4001:10::1005 v9.lscache7.c.googlesyndication.com
2404:6800:4005:806::200e v9.lscache8.c.googlesyndication.com
2401:3800:4001:10::1009 v10.lscache1.c.googlesyndication.com
2401:3800:4001:806::1001 v10.lscache2.c.googlesyndication.com
2401:3800:4001:11::1001 v10.lscache3.c.googlesyndication.com
2404:6800:4005:801::200e v10.lscache4.c.googlesyndication.com
2404:6800:4005:80a::200e v10.lscache5.c.googlesyndication.com
2401:3800:4001:806::1001 v10.lscache6.c.googlesyndication.com
2404:6800:4005:808::200e v10.lscache7.c.googlesyndication.com
2404:6800:4005:806::200e v10.lscache8.c.googlesyndication.com
2404:6800:4005:805::200e v11.lscache1.c.googlesyndication.com
2401:3800:4001:11::1008 v11.lscache2.c.googlesyndication.com
2401:3800:4001:807::100e v11.lscache3.c.googlesyndication.com
2404:6800:4005:808::200e v11.lscache4.c.googlesyndication.com
2401:3800:4001:11::1005 v11.lscache5.c.googlesyndication.com
2401:3800:4001:806::1004 v11.lscache6.c.googlesyndication.com
2401:3800:4001:807::1008 v11.lscache7.c.googlesyndication.com
2404:6800:4005:807::200e v11.lscache8.c.googlesyndication.com
2401:3800:4001:806::1008 v12.lscache1.c.googlesyndication.com
2401:3800:4001:806::1001 v12.lscache2.c.googlesyndication.com
2401:3800:4001:806::1000 v12.lscache3.c.googlesyndication.com
2404:6800:4005:802::200e v12.lscache4.c.googlesyndication.com
2401:3800:4001:10::1003 v12.lscache5.c.googlesyndication.com
2401:3800:4001:807::1007 v12.lscache6.c.googlesyndication.com
2401:3800:4001:806::100e v12.lscache7.c.googlesyndication.com
2401:3800:4001:807::1004 v12.lscache8.c.googlesyndication.com
2401:3800:4001:11::1008 v13.lscache1.c.googlesyndication.com
2401:3800:4001:10::1009 v13.lscache2.c.googlesyndication.com
2404:6800:4005:80a::200e v13.lscache3.c.googlesyndication.com
2404:6800:4005:809::200e v13.lscache4.c.googlesyndication.com
2401:3800:4001:10::1009 v13.lscache5.c.googlesyndication.com
2401:3800:4001:10::1003 v13.lscache6.c.googlesyndication.com
2401:3800:4001:807::1006 v13.lscache7.c.googlesyndication.com
2401:3800:4001:11::1005 v13.lscache8.c.googlesyndication.com
2404:6800:4005:804::200e v14.lscache1.c.googlesyndication.com
2401:3800:4001:806::1004 v14.lscache2.c.googlesyndication.com
2401:3800:4001:807::1000 v14.lscache3.c.googlesyndication.com
2401:3800:4001:806::1005 v14.lscache4.c.googlesyndication.com
2401:3800:4001:10::1003 v14.lscache5.c.googlesyndication.com
2401:3800:4001:806::100e v14.lscache6.c.googlesyndication.com
2401:3800:4001:806::1000 v14.lscache7.c.googlesyndication.com
2401:3800:4001:807::1007 v14.lscache8.c.googlesyndication.com
2401:3800:4001:807::1008 v15.lscache1.c.googlesyndication.com
2401:3800:4001:807::1004 v15.lscache2.c.googlesyndication.com
2401:3800:4001:807::1004 v15.lscache3.c.googlesyndication.com
2401:3800:4001:11::100e v15.lscache4.c.googlesyndication.com
2401:3800:4001:807::1000 v15.lscache5.c.googlesyndication.com
2401:3800:4001:806::1002 v15.lscache6.c.googlesyndication.com
2404:6800:4005:808::200e v15.lscache7.c.googlesyndication.com
2401:3800:4001:807::1001 v15.lscache8.c.googlesyndication.com
2401:3800:4001:11::1003 v16.lscache1.c.googlesyndication.com
2401:3800:4001:806::1002 v16.lscache2.c.googlesyndication.com
2404:6800:4005:807::200e v16.lscache3.c.googlesyndication.com
2401:3800:4001:11::1006 v16.lscache4.c.googlesyndication.com
2401:3800:4001:806::1008 v16.lscache5.c.googlesyndication.com
2401:3800:4001:11::1009 v16.lscache6.c.googlesyndication.com
2404:6800:4005:802::200e v16.lscache7.c.googlesyndication.com
2401:3800:4001:11::1003 v16.lscache8.c.googlesyndication.com
2404:6800:4005:802::200e v17.lscache1.c.googlesyndication.com
2401:3800:4001:11::1008 v17.lscache2.c.googlesyndication.com
2401:3800:4001:10::1006 v17.lscache3.c.googlesyndication.com
2401:3800:4001:807::1002 v17.lscache4.c.googlesyndication.com
2401:3800:4001:807::1003 v17.lscache5.c.googlesyndication.com
2401:3800:4001:11::100e v17.lscache6.c.googlesyndication.com
2404:6800:4005:808::200e v17.lscache7.c.googlesyndication.com
2401:3800:4001:10::1008 v17.lscache8.c.googlesyndication.com
2404:6800:4005:804::200e v18.lscache1.c.googlesyndication.com
2404:6800:4005:802::200e v18.lscache2.c.googlesyndication.com
2401:3800:4001:11::1005 v18.lscache3.c.googlesyndication.com
2401:3800:4001:10::1003 v18.lscache4.c.googlesyndication.com
2401:3800:4001:807::1006 v18.lscache5.c.googlesyndication.com
2404:6800:4005:807::200e v18.lscache6.c.googlesyndication.com
2401:3800:4001:10::1003 v18.lscache7.c.googlesyndication.com
2401:3800:4001:806::100e v18.lscache8.c.googlesyndication.com
2401:3800:4001:807::1009 v19.lscache1.c.googlesyndication.com
2404:6800:4005:806::200e v19.lscache2.c.googlesyndication.com
2401:3800:4001:806::1001 v19.lscache3.c.googlesyndication.com
2401:3800:4001:11::1006 v19.lscache4.c.googlesyndication.com
2401:3800:4001:806::1008 v19.lscache5.c.googlesyndication.com
2401:3800:4001:11::1001 v19.lscache6.c.googlesyndication.com
2401:3800:4001:806::1006 v19.lscache7.c.googlesyndication.com
2401:3800:4001:807::1000 v19.lscache8.c.googlesyndication.com
2401:3800:4001:806::1005 v20.lscache1.c.googlesyndication.com
2404:6800:4005:801::200e v20.lscache2.c.googlesyndication.com
2404:6800:4005:806::200e v20.lscache3.c.googlesyndication.com
2404:6800:4005:809::200e v20.lscache4.c.googlesyndication.com
2404:6800:4005:807::200e v20.lscache5.c.googlesyndication.com
2404:6800:4005:800::200e v20.lscache6.c.googlesyndication.com
2401:3800:4001:11::1007 v20.lscache7.c.googlesyndication.com
2401:3800:4001:10::1006 v20.lscache8.c.googlesyndication.com
2401:3800:4001:11::1004 v21.lscache1.c.googlesyndication.com
2404:6800:4005:808::200e v21.lscache2.c.googlesyndication.com
2404:6800:4005:80b::200e v21.lscache3.c.googlesyndication.com
2401:3800:4001:10::1004 v21.lscache4.c.googlesyndication.com
2404:6800:4005:805::200e v21.lscache5.c.googlesyndication.com
2401:3800:4001:807::1003 v21.lscache6.c.googlesyndication.com
2404:6800:4005:806::200e v21.lscache7.c.googlesyndication.com
2401:3800:4001:11::1002 v21.lscache8.c.googlesyndication.com
2401:3800:4001:10::1000 v22.lscache1.c.googlesyndication.com
2404:6800:4005:800::200e v22.lscache2.c.googlesyndication.com
2404:6800:4005:809::200e v22.lscache3.c.googlesyndication.com
2401:3800:4001:10::1003 v22.lscache4.c.googlesyndication.com
2404:6800:4005:809::200e v22.lscache5.c.googlesyndication.com
2401:3800:4001:806::1006 v22.lscache6.c.googlesyndication.com
2401:3800:4001:807::1006 v22.lscache7.c.googlesyndication.com
2401:3800:4001:10::1004 v22.lscache8.c.googlesyndication.com
2401:3800:4001:10::1004 v23.lscache1.c.googlesyndication.com
2401:3800:4001:807::1002 v23.lscache2.c.googlesyndication.com
2401:3800:4001:807::1000 v23.lscache3.c.googlesyndication.com
2404:6800:4005:805::200e v23.lscache4.c.googlesyndication.com
2404:6800:4005:806::200e v23.lscache5.c.googlesyndication.com
2401:3800:4001:11::1009 v23.lscache6.c.googlesyndication.com
2401:3800:4001:806::1007 v23.lscache7.c.googlesyndication.com
2404:6800:4005:800::200e v23.lscache8.c.googlesyndication.com
2401:3800:4001:11::1005 v24.lscache1.c.googlesyndication.com
2401:3800:4001:10::1003 v24.lscache2.c.googlesyndication.com
2401:3800:4001:10::1005 v24.lscache3.c.googlesyndication.com
2401:3800:4001:11::1000 v24.lscache4.c.googlesyndication.com
2401:3800:4001:11::1005 v24.lscache5.c.googlesyndication.com
2404:6800:4005:807::200e v24.lscache6.c.googlesyndication.com
2401:3800:4001:806::100e v24.lscache7.c.googlesyndication.com
2401:3800:4001:807::1007 v24.lscache8.c.googlesyndication.com

